pseudo,note
318,11.05
717,11.506
364,10.022
93,12.16
543,9.886
860,11.682
533,9.904
340,9.772
74,9.781
454,9.627
239,9.855
430,10.957
406,12.305
296,9.232
312,9.078
170,9.741
632,9.008
101,9.412
475,11.497
592,9.535
575,9.781
128,11.383
547,9.008
725,9.864
392,10.584
438,9.355
409,11.721
302,9.649
269,8.802
974,8.811
127,8.6
225,9.855
817,10.233
705,9.232
795,10.712
38,8.249
173,8.723
117,11.752
668,11.129
65,11.129
872,9.399
1000,10.0
511,8.793
141,10.106
853,8.793
570,8.916
169,10.281
990,9.873
322,12.151
745,10.404
435,10.782
282,9.109
790,9.487
121,10.896
42,11.366
58,9.232
351,10.611
903,12.16
918,9.956
469,9.487
344,9.272
662,10.005
814,9.987
899,10.044
433,8.947
15,8.718
163,9.763
415,11.581
617,11.721
29,9.917
553,7.823
48,9.263
897,10.834
400,9.614
230,10.628
773,9.719
452,10.312
602,11.028
457,10.474
210,9.658
828,8.718
66,8.701
19,9.07
829,9.272
279,8.71
973,9.509
629,9.311
432,11.704
273,9.078
342,9.794
147,10.15
227,10.005
562,10.312
43,9.987
447,10.312
357,10.251
473,9.781
540,11.313
975,8.332
